MOLTID,TITLE,MOLTNBR,PANELNBR,CELLNBR,pname,cellname,ENTITY_MEASURED,UNITS,METHOD,VALUE,TEXT
MT2979,microRNA hsa-miR-140,358900,9,23,Renal,ACHN,miRNA,miR copy number,RT-PCR,329.506944,
MT2979,microRNA hsa-miR-140,358900,9,15,Renal,CAKI-1,miRNA,miR copy number,RT-PCR,202.160882,
MT2979,microRNA hsa-miR-140,358900,9,16,Renal,RXF-393,miRNA,miR copy number,RT-PCR,89.7747073,
MT2979,microRNA hsa-miR-140,358900,9,8,Renal,SN12C,miRNA,miR copy number,RT-PCR,147.432786,
MT2979,microRNA hsa-miR-140,358900,9,24,Renal,TK-10,miRNA,miR copy number,RT-PCR,192.258251,
MT2979,microRNA hsa-miR-140,358900,9,4,Renal,UO-31,miRNA,miR copy number,RT-PCR,169.134752,
MT2979,microRNA hsa-miR-140,358900,11,1,Prostate,PC-3,miRNA,miR copy number,RT-PCR,114.981079,
MT2979,microRNA hsa-miR-140,358900,11,3,Prostate,DU-145,miRNA,miR copy number,RT-PCR,309.390981,
MT2979,microRNA hsa-miR-140,358900,5,1,Breast,MCF7,miRNA,miR copy number,RT-PCR,109.341607,
MT2979,microRNA hsa-miR-140,358900,5,2,Ovarian,NCI/ADR-RES,miRNA,miR copy number,RT-PCR,105.095958,
MT2979,microRNA hsa-miR-140,358900,5,5,Breast,MDA-MB-231/ATCC,miRNA,miR copy number,RT-PCR,148.377572,
MT2979,microRNA hsa-miR-140,358900,5,6,Breast,HS 578T,miRNA,miR copy number,RT-PCR,956.60007,
MT2979,microRNA hsa-miR-140,358900,5,11,Melanoma,MDA-MB-435,miRNA,miR copy number,RT-PCR,259.388512,
MT2979,microRNA hsa-miR-140,358900,5,13,Breast,BT-549,miRNA,miR copy number,RT-PCR,667.524048,
MT2979,microRNA hsa-miR-140,358900,5,14,Breast,T-47D,miRNA,miR copy number,RT-PCR,26.8354251,
MT2980,microRNA hsa-miR-141,358901,7,3,Leukemia,CCRF-CEM,miRNA,miR copy number,RT-PCR,0,
MT2980,microRNA hsa-miR-141,358901,7,8,Leukemia,HL-60(TB),miRNA,miR copy number,RT-PCR,5.51924767,
MT2980,microRNA hsa-miR-141,358901,7,5,Leukemia,K-562,miRNA,miR copy number,RT-PCR,0,
MT2980,microRNA hsa-miR-141,358901,7,6,Leukemia,MOLT-4,miRNA,miR copy number,RT-PCR,71.7798578,
MT2980,microRNA hsa-miR-141,358901,7,10,Leukemia,RPMI-8226,miRNA,miR copy number,RT-PCR,5.96144084,
MT2980,microRNA hsa-miR-141,358901,7,19,Leukemia,SR,miRNA,miR copy number,RT-PCR,21.6046584,
MT2980,microRNA hsa-miR-141,358901,1,4,NSCLC,A549/ATCC,miRNA,miR copy number,RT-PCR,0,
MT2980,microRNA hsa-miR-141,358901,1,8,NSCLC,EKVX,miRNA,miR copy number,RT-PCR,23.3699533,
MT2980,microRNA hsa-miR-141,358901,1,26,NSCLC,HOP-62,miRNA,miR copy number,RT-PCR,21.1114756,
MT2980,microRNA hsa-miR-141,358901,1,29,NSCLC,HOP-92,miRNA,miR copy number,RT-PCR,0,
MT2980,microRNA hsa-miR-141,358901,1,13,NSCLC,NCI-H226,miRNA,miR copy number,RT-PCR,0,
MT2980,microRNA hsa-miR-141,358901,1,1,NSCLC,NCI-H23,miRNA,miR copy number,RT-PCR,0,
MT2980,microRNA hsa-miR-141,358901,1,17,NSCLC,NCI-H322M,miRNA,miR copy number,RT-PCR,848.423218,
MT2980,microRNA hsa-miR-141,358901,1,21,NSCLC,NCI-H460,miRNA,miR copy number,RT-PCR,31.2763454,
MT2980,microRNA hsa-miR-141,358901,1,3,NSCLC,NCI-H522,miRNA,miR copy number,RT-PCR,0,
MT2980,microRNA hsa-miR-141,358901,4,10,Colon,COLO 205,miRNA,miR copy number,RT-PCR,352.005347,
MT2980,microRNA hsa-miR-141,358901,4,2,Colon,HCC-2998,miRNA,miR copy number,RT-PCR,1041.21443,
MT2980,microRNA hsa-miR-141,358901,4,3,Colon,HCT-116,miRNA,miR copy number,RT-PCR,906.427443,
MT2980,microRNA hsa-miR-141,358901,4,15,Colon,HCT-15,miRNA,miR copy number,RT-PCR,1918.93461,
MT2980,microRNA hsa-miR-141,358901,4,1,Colon,HT29,miRNA,miR copy number,RT-PCR,873.369119,
MT2980,microRNA hsa-miR-141,358901,4,17,Colon,KM12,miRNA,miR copy number,RT-PCR,818.5047,
MT2980,microRNA hsa-miR-141,358901,4,9,Colon,SW-620,miRNA,miR copy number,RT-PCR,205.313319,
MT2980,microRNA hsa-miR-141,358901,12,14,CNS,SF-268,miRNA,miR copy number,RT-PCR,0,
MT2980,microRNA hsa-miR-141,358901,12,15,CNS,SF-295,miRNA,miR copy number,RT-PCR,0,
MT2980,microRNA hsa-miR-141,358901,12,16,CNS,SF-539,miRNA,miR copy number,RT-PCR,0,
MT2980,microRNA hsa-miR-141,358901,12,2,CNS,SNB-19,miRNA,miR copy number,RT-PCR,19.9238484,
MT2980,microRNA hsa-miR-141,358901,12,5,CNS,SNB-75,miRNA,miR copy number,RT-PCR,0,
MT2980,microRNA hsa-miR-141,358901,12,9,CNS,U251,miRNA,miR copy number,RT-PCR,0,
MT2980,microRNA hsa-miR-141,358901,10,1,Melanoma,LOX IMVI,miRNA,miR copy number,RT-PCR,0,
MT2980,microRNA hsa-miR-141,358901,10,2,Melanoma,MALME-3M,miRNA,miR copy number,RT-PCR,0,
MT2980,microRNA hsa-miR-141,358901,10,14,Melanoma,M14,miRNA,miR copy number,RT-PCR,10.1468152,
MT2980,microRNA hsa-miR-141,358901,10,5,Melanoma,SK-MEL-2,miRNA,miR copy number,RT-PCR,5.11516174,
MT2980,microRNA hsa-miR-141,358901,10,8,Melanoma,SK-MEL-28,miRNA,miR copy number,RT-PCR,13.9097022,
MT2980,microRNA hsa-miR-141,358901,10,7,Melanoma,SK-MEL-5,miRNA,miR copy number,RT-PCR,0,
MT2980,microRNA hsa-miR-141,358901,10,21,Melanoma,UACC-257,miRNA,miR copy number,RT-PCR,0,
MT2980,microRNA hsa-miR-141,358901,10,20,Melanoma,UACC-62,miRNA,miR copy number,RT-PCR,0,
MT2980,microRNA hsa-miR-141,358901,6,10,Ovarian,IGROV1,miRNA,miR copy number,RT-PCR,137.910069,
MT2980,microRNA hsa-miR-141,358901,6,1,Ovarian,OVCAR-3,miRNA,miR copy number,RT-PCR,829.886195,
MT2980,microRNA hsa-miR-141,358901,6,2,Ovarian,OVCAR-4,miRNA,miR copy number,RT-PCR,264.818835,
MT2980,microRNA hsa-miR-141,358901,6,3,Ovarian,OVCAR-5,miRNA,miR copy number,RT-PCR,28.5121565,
MT2980,microRNA hsa-miR-141,358901,6,5,Ovarian,OVCAR-8,miRNA,miR copy number,RT-PCR,0,
MT2980,microRNA hsa-miR-141,358901,6,11,Ovarian,SK-OV-3,miRNA,miR copy number,RT-PCR,0,
MT2980,microRNA hsa-miR-141,358901,9,18,Renal,786-0,miRNA,miR copy number,RT-PCR,0,
MT2980,microRNA hsa-miR-141,358901,9,13,Renal,A498,miRNA,miR copy number,RT-PCR,0,
MT2980,microRNA hsa-miR-141,358901,9,23,Renal,ACHN,miRNA,miR copy number,RT-PCR,0,
MT2980,microRNA hsa-miR-141,358901,9,15,Renal,CAKI-1,miRNA,miR copy number,RT-PCR,0,
MT2980,microRNA hsa-miR-141,358901,9,16,Renal,RXF-393,miRNA,miR copy number,RT-PCR,0,
MT2980,microRNA hsa-miR-141,358901,9,8,Renal,SN12C,miRNA,miR copy number,RT-PCR,0,
MT2980,microRNA hsa-miR-141,358901,9,24,Renal,TK-10,miRNA,miR copy number,RT-PCR,0,
MT2980,microRNA hsa-miR-141,358901,9,4,Renal,UO-31,miRNA,miR copy number,RT-PCR,0,
MT2980,microRNA hsa-miR-141,358901,11,1,Prostate,PC-3,miRNA,miR copy number,RT-PCR,0,
MT2980,microRNA hsa-miR-141,358901,11,3,Prostate,DU-145,miRNA,miR copy number,RT-PCR,578.517712,
MT2980,microRNA hsa-miR-141,358901,5,1,Breast,MCF7,miRNA,miR copy number,RT-PCR,1223.0605,
MT2980,microRNA hsa-miR-141,358901,5,2,Ovarian,NCI/ADR-RES,miRNA,miR copy number,RT-PCR,0,
MT2980,microRNA hsa-miR-141,358901,5,5,Breast,MDA-MB-231/ATCC,miRNA,miR copy number,RT-PCR,0,
MT2980,microRNA hsa-miR-141,358901,5,6,Breast,HS 578T,miRNA,miR copy number,RT-PCR,0,
MT2980,microRNA hsa-miR-141,358901,5,11,Melanoma,MDA-MB-435,miRNA,miR copy number,RT-PCR,0,
MT2980,microRNA hsa-miR-141,358901,5,13,Breast,BT-549,miRNA,miR copy number,RT-PCR,0,
MT2980,microRNA hsa-miR-141,358901,5,14,Breast,T-47D,miRNA,miR copy number,RT-PCR,146.274131,
MT2981,microRNA hsa-miR-141N,358902,7,3,Leukemia,CCRF-CEM,miRNA,miR copy number,RT-PCR,0,
MT2981,microRNA hsa-miR-141N,358902,7,8,Leukemia,HL-60(TB),miRNA,miR copy number,RT-PCR,9.50917282,
MT2981,microRNA hsa-miR-141N,358902,7,5,Leukemia,K-562,miRNA,miR copy number,RT-PCR,0,
MT2981,microRNA hsa-miR-141N,358902,7,6,Leukemia,MOLT-4,miRNA,miR copy number,RT-PCR,105.415364,
MT2981,microRNA hsa-miR-141N,358902,7,10,Leukemia,RPMI-8226,miRNA,miR copy number,RT-PCR,5.50267887,
MT2981,microRNA hsa-miR-141N,358902,7,19,Leukemia,SR,miRNA,miR copy number,RT-PCR,26.8472396,
MT2981,microRNA hsa-miR-141N,358902,1,4,NSCLC,A549/ATCC,miRNA,miR copy number,RT-PCR,0,
MT2981,microRNA hsa-miR-141N,358902,1,8,NSCLC,EKVX,miRNA,miR copy number,RT-PCR,21.7521819,
MT2981,microRNA hsa-miR-141N,358902,1,26,NSCLC,HOP-62,miRNA,miR copy number,RT-PCR,34.5023925,
MT2981,microRNA hsa-miR-141N,358902,1,29,NSCLC,HOP-92,miRNA,miR copy number,RT-PCR,0,
MT2981,microRNA hsa-miR-141N,358902,1,13,NSCLC,NCI-H226,miRNA,miR copy number,RT-PCR,0,
MT2981,microRNA hsa-miR-141N,358902,1,1,NSCLC,NCI-H23,miRNA,miR copy number,RT-PCR,0,
MT2981,microRNA hsa-miR-141N,358902,1,17,NSCLC,NCI-H322M,miRNA,miR copy number,RT-PCR,1341.89936,
MT2981,microRNA hsa-miR-141N,358902,1,21,NSCLC,NCI-H460,miRNA,miR copy number,RT-PCR,56.9198621,
MT2981,microRNA hsa-miR-141N,358902,1,3,NSCLC,NCI-H522,miRNA,miR copy number,RT-PCR,0,
MT2981,microRNA hsa-miR-141N,358902,4,10,Colon,COLO 205,miRNA,miR copy number,RT-PCR,882.225913,
MT2981,microRNA hsa-miR-141N,358902,4,2,Colon,HCC-2998,miRNA,miR copy number,RT-PCR,1980.7535,
MT2981,microRNA hsa-miR-141N,358902,4,3,Colon,HCT-116,miRNA,miR copy number,RT-PCR,1140.79947,
MT2981,microRNA hsa-miR-141N,358902,4,15,Colon,HCT-15,miRNA,miR copy number,RT-PCR,3249.69713,
MT2981,microRNA hsa-miR-141N,358902,4,1,Colon,HT29,miRNA,miR copy number,RT-PCR,1330.98719,
MT2981,microRNA hsa-miR-141N,358902,4,17,Colon,KM12,miRNA,miR copy number,RT-PCR,1405.10814,
MT2981,microRNA hsa-miR-141N,358902,4,9,Colon,SW-620,miRNA,miR copy number,RT-PCR,367.139628,
MT2981,microRNA hsa-miR-141N,358902,12,14,CNS,SF-268,miRNA,miR copy number,RT-PCR,0,
MT2981,microRNA hsa-miR-141N,358902,12,15,CNS,SF-295,miRNA,miR copy number,RT-PCR,0,
MT2981,microRNA hsa-miR-141N,358902,12,16,CNS,SF-539,miRNA,miR copy number,RT-PCR,0,
MT2981,microRNA hsa-miR-141N,358902,12,2,CNS,SNB-19,miRNA,miR copy number,RT-PCR,22.6411626,
MT2981,microRNA hsa-miR-141N,358902,12,5,CNS,SNB-75,miRNA,miR copy number,RT-PCR,0,
MT2981,microRNA hsa-miR-141N,358902,12,9,CNS,U251,miRNA,miR copy number,RT-PCR,0,
MT2981,microRNA hsa-miR-141N,358902,10,1,Melanoma,LOX IMVI,miRNA,miR copy number,RT-PCR,0,
MT2981,microRNA hsa-miR-141N,358902,10,2,Melanoma,MALME-3M,miRNA,miR copy number,RT-PCR,8.18509233,
MT2981,microRNA hsa-miR-141N,358902,10,14,Melanoma,M14,miRNA,miR copy number,RT-PCR,0,
MT2981,microRNA hsa-miR-141N,358902,10,5,Melanoma,SK-MEL-2,miRNA,miR copy number,RT-PCR,5.11516174,
MT2981,microRNA hsa-miR-141N,358902,10,8,Melanoma,SK-MEL-28,miRNA,miR copy number,RT-PCR,21.3770439,
MT2981,microRNA hsa-miR-141N,358902,10,7,Melanoma,SK-MEL-5,miRNA,miR copy number,RT-PCR,0,
MT2981,microRNA hsa-miR-141N,358902,10,21,Melanoma,UACC-257,miRNA,miR copy number,RT-PCR,0,
MT2981,microRNA hsa-miR-141N,358902,10,20,Melanoma,UACC-62,miRNA,miR copy number,RT-PCR,0,
MT2981,microRNA hsa-miR-141N,358902,6,10,Ovarian,IGROV1,miRNA,miR copy number,RT-PCR,252.904546,
MT2981,microRNA hsa-miR-141N,358902,6,1,Ovarian,OVCAR-3,miRNA,miR copy number,RT-PCR,1868.93793,
MT2981,microRNA hsa-miR-141N,358902,6,2,Ovarian,OVCAR-4,miRNA,miR copy number,RT-PCR,439.974174,
MT2981,microRNA hsa-miR-141N,358902,6,3,Ovarian,OVCAR-5,miRNA,miR copy number,RT-PCR,45.6098263,
MT2981,microRNA hsa-miR-141N,358902,6,5,Ovarian,OVCAR-8,miRNA,miR copy number,RT-PCR,0,
MT2981,microRNA hsa-miR-141N,358902,6,11,Ovarian,SK-OV-3,miRNA,miR copy number,RT-PCR,0,
MT2981,microRNA hsa-miR-141N,358902,9,18,Renal,786-0,miRNA,miR copy number,RT-PCR,0,
MT2981,microRNA hsa-miR-141N,358902,9,13,Renal,A498,miRNA,miR copy number,RT-PCR,0,
MT2981,microRNA hsa-miR-141N,358902,9,23,Renal,ACHN,miRNA,miR copy number,RT-PCR,0,
MT2981,microRNA hsa-miR-141N,358902,9,15,Renal,CAKI-1,miRNA,miR copy number,RT-PCR,0,
MT2981,microRNA hsa-miR-141N,358902,9,16,Renal,RXF-393,miRNA,miR copy number,RT-PCR,0,
MT2981,microRNA hsa-miR-141N,358902,9,8,Renal,SN12C,miRNA,miR copy number,RT-PCR,0,
MT2981,microRNA hsa-miR-141N,358902,9,24,Renal,TK-10,miRNA,miR copy number,RT-PCR,0,
MT2981,microRNA hsa-miR-141N,358902,9,4,Renal,UO-31,miRNA,miR copy number,RT-PCR,0,
MT2981,microRNA hsa-miR-141N,358902,11,1,Prostate,PC-3,miRNA,miR copy number,RT-PCR,0,
MT2981,microRNA hsa-miR-141N,358902,11,3,Prostate,DU-145,miRNA,miR copy number,RT-PCR,812.337521,
MT2981,microRNA hsa-miR-141N,358902,5,1,Breast,MCF7,miRNA,miR copy number,RT-PCR,2068.72803,
MT2981,microRNA hsa-miR-141N,358902,5,2,Ovarian,NCI/ADR-RES,miRNA,miR copy number,RT-PCR,0,
MT2981,microRNA hsa-miR-141N,358902,5,5,Breast,MDA-MB-231/ATCC,miRNA,miR copy number,RT-PCR,0,
MT2981,microRNA hsa-miR-141N,358902,5,6,Breast,HS 578T,miRNA,miR copy number,RT-PCR,0,
MT2981,microRNA hsa-miR-141N,358902,5,11,Melanoma,MDA-MB-435,miRNA,miR copy number,RT-PCR,0,
MT2981,microRNA hsa-miR-141N,358902,5,13,Breast,BT-549,miRNA,miR copy number,RT-PCR,0,
MT2981,microRNA hsa-miR-141N,358902,5,14,Breast,T-47D,miRNA,miR copy number,RT-PCR,172.499201,
MT2982,microRNA hsa-miR-142-3p,358903,7,3,Leukemia,CCRF-CEM,miRNA,miR copy number,RT-PCR,13844.9833,
MT2982,microRNA hsa-miR-142-3p,358903,7,8,Leukemia,HL-60(TB),miRNA,miR copy number,RT-PCR,53902.1255,
MT2982,microRNA hsa-miR-142-3p,358903,7,5,Leukemia,K-562,miRNA,miR copy number,RT-PCR,11275.0111,
MT2982,microRNA hsa-miR-142-3p,358903,7,6,Leukemia,MOLT-4,miRNA,miR copy number,RT-PCR,13795.8497,
MT2982,microRNA hsa-miR-142-3p,358903,7,10,Leukemia,RPMI-8226,miRNA,miR copy number,RT-PCR,14098.8858,
MT2982,microRNA hsa-miR-142-3p,358903,7,19,Leukemia,SR,miRNA,miR copy number,RT-PCR,6994.33891,
MT2982,microRNA hsa-miR-142-3p,358903,1,4,NSCLC,A549/ATCC,miRNA,miR copy number,RT-PCR,7.11791587,
MT2982,microRNA hsa-miR-142-3p,358903,1,8,NSCLC,EKVX,miRNA,miR copy number,RT-PCR,0,
MT2982,microRNA hsa-miR-142-3p,358903,1,26,NSCLC,HOP-62,miRNA,miR copy number,RT-PCR,0,
MT2982,microRNA hsa-miR-142-3p,358903,1,29,NSCLC,HOP-92,miRNA,miR copy number,RT-PCR,312.187677,
MT2982,microRNA hsa-miR-142-3p,358903,1,13,NSCLC,NCI-H226,miRNA,miR copy number,RT-PCR,0,
MT2982,microRNA hsa-miR-142-3p,358903,1,1,NSCLC,NCI-H23,miRNA,miR copy number,RT-PCR,0,
MT2982,microRNA hsa-miR-142-3p,358903,1,17,NSCLC,NCI-H322M,miRNA,miR copy number,RT-PCR,0,
MT2982,microRNA hsa-miR-142-3p,358903,1,21,NSCLC,NCI-H460,miRNA,miR copy number,RT-PCR,5.11516174,
MT2982,microRNA hsa-miR-142-3p,358903,1,3,NSCLC,NCI-H522,miRNA,miR copy number,RT-PCR,0,
MT2982,microRNA hsa-miR-142-3p,358903,4,10,Colon,COLO 205,miRNA,miR copy number,RT-PCR,3630.12674,
MT2982,microRNA hsa-miR-142-3p,358903,4,2,Colon,HCC-2998,miRNA,miR copy number,RT-PCR,65.8315301,
MT2982,microRNA hsa-miR-142-3p,358903,4,3,Colon,HCT-116,miRNA,miR copy number,RT-PCR,40.8575493,
MT2982,microRNA hsa-miR-142-3p,358903,4,15,Colon,HCT-15,miRNA,miR copy number,RT-PCR,108.100067,
MT2982,microRNA hsa-miR-142-3p,358903,4,1,Colon,HT29,miRNA,miR copy number,RT-PCR,47.4695267,
MT2982,microRNA hsa-miR-142-3p,358903,4,17,Colon,KM12,miRNA,miR copy number,RT-PCR,5.40807878,
MT2982,microRNA hsa-miR-142-3p,358903,4,9,Colon,SW-620,miRNA,miR copy number,RT-PCR,5333.74279,
MT2982,microRNA hsa-miR-142-3p,358903,12,14,CNS,SF-268,miRNA,miR copy number,RT-PCR,0,
MT2982,microRNA hsa-miR-142-3p,358903,12,15,CNS,SF-295,miRNA,miR copy number,RT-PCR,0,
MT2982,microRNA hsa-miR-142-3p,358903,12,16,CNS,SF-539,miRNA,miR copy number,RT-PCR,0,
MT2982,microRNA hsa-miR-142-3p,358903,12,2,CNS,SNB-19,miRNA,miR copy number,RT-PCR,153.667602,
MT2982,microRNA hsa-miR-142-3p,358903,12,5,CNS,SNB-75,miRNA,miR copy number,RT-PCR,0,
MT2982,microRNA hsa-miR-142-3p,358903,12,9,CNS,U251,miRNA,miR copy number,RT-PCR,0,
MT2982,microRNA hsa-miR-142-3p,358903,10,1,Melanoma,LOX IMVI,miRNA,miR copy number,RT-PCR,212.071806,
MT2982,microRNA hsa-miR-142-3p,358903,10,2,Melanoma,MALME-3M,miRNA,miR copy number,RT-PCR,736.841468,
MT2982,microRNA hsa-miR-142-3p,358903,10,14,Melanoma,M14,miRNA,miR copy number,RT-PCR,0,
MT2982,microRNA hsa-miR-142-3p,358903,10,5,Melanoma,SK-MEL-2,miRNA,miR copy number,RT-PCR,153.996066,
MT2982,microRNA hsa-miR-142-3p,358903,10,8,Melanoma,SK-MEL-28,miRNA,miR copy number,RT-PCR,0,
MT2982,microRNA hsa-miR-142-3p,358903,10,7,Melanoma,SK-MEL-5,miRNA,miR copy number,RT-PCR,0,
MT2982,microRNA hsa-miR-142-3p,358903,10,21,Melanoma,UACC-257,miRNA,miR copy number,RT-PCR,0,
MT2982,microRNA hsa-miR-142-3p,358903,10,20,Melanoma,UACC-62,miRNA,miR copy number,RT-PCR,0,
MT2982,microRNA hsa-miR-142-3p,358903,6,10,Ovarian,IGROV1,miRNA,miR copy number,RT-PCR,13.5090806,
MT2982,microRNA hsa-miR-142-3p,358903,6,1,Ovarian,OVCAR-3,miRNA,miR copy number,RT-PCR,0,
MT2982,microRNA hsa-miR-142-3p,358903,6,2,Ovarian,OVCAR-4,miRNA,miR copy number,RT-PCR,0,
MT2982,microRNA hsa-miR-142-3p,358903,6,3,Ovarian,OVCAR-5,miRNA,miR copy number,RT-PCR,0,
MT2982,microRNA hsa-miR-142-3p,358903,6,5,Ovarian,OVCAR-8,miRNA,miR copy number,RT-PCR,134.211355,
MT2982,microRNA hsa-miR-142-3p,358903,6,11,Ovarian,SK-OV-3,miRNA,miR copy number,RT-PCR,7.53502536,
MT2982,microRNA hsa-miR-142-3p,358903,9,18,Renal,786-0,miRNA,miR copy number,RT-PCR,0,
MT2982,microRNA hsa-miR-142-3p,358903,9,13,Renal,A498,miRNA,miR copy number,RT-PCR,178.620002,
MT2982,microRNA hsa-miR-142-3p,358903,9,23,Renal,ACHN,miRNA,miR copy number,RT-PCR,0,
MT2982,microRNA hsa-miR-142-3p,358903,9,15,Renal,CAKI-1,miRNA,miR copy number,RT-PCR,0,
MT2982,microRNA hsa-miR-142-3p,358903,9,16,Renal,RXF-393,miRNA,miR copy number,RT-PCR,0,
MT2982,microRNA hsa-miR-142-3p,358903,9,8,Renal,SN12C,miRNA,miR copy number,RT-PCR,9.10147848,
MT2982,microRNA hsa-miR-142-3p,358903,9,24,Renal,TK-10,miRNA,miR copy number,RT-PCR,0,
MT2982,microRNA hsa-miR-142-3p,358903,9,4,Renal,UO-31,miRNA,miR copy number,RT-PCR,68.8566153,
MT2982,microRNA hsa-miR-142-3p,358903,11,1,Prostate,PC-3,miRNA,miR copy number,RT-PCR,0,
MT2982,microRNA hsa-miR-142-3p,358903,11,3,Prostate,DU-145,miRNA,miR copy number,RT-PCR,0,
MT2982,microRNA hsa-miR-142-3p,358903,5,1,Breast,MCF7,miRNA,miR copy number,RT-PCR,16.6046798,
MT2982,microRNA hsa-miR-142-3p,358903,5,2,Ovarian,NCI/ADR-RES,miRNA,miR copy number,RT-PCR,83.7773742,
MT2982,microRNA hsa-miR-142-3p,358903,5,5,Breast,MDA-MB-231/ATCC,miRNA,miR copy number,RT-PCR,7.05772993,
MT2982,microRNA hsa-miR-142-3p,358903,5,6,Breast,HS 578T,miRNA,miR copy number,RT-PCR,5.73728828,
MT2982,microRNA hsa-miR-142-3p,358903,5,11,Melanoma,MDA-MB-435,miRNA,miR copy number,RT-PCR,0,
MT2982,microRNA hsa-miR-142-3p,358903,5,13,Breast,BT-549,miRNA,miR copy number,RT-PCR,0,
MT2982,microRNA hsa-miR-142-3p,358903,5,14,Breast,T-47D,miRNA,miR copy number,RT-PCR,0,
MT2983,microRNA hsa-miR-142-5p,358904,7,3,Leukemia,CCRF-CEM,miRNA,miR copy number,RT-PCR,761.533592,
MT2983,microRNA hsa-miR-142-5p,358904,7,8,Leukemia,HL-60(TB),miRNA,miR copy number,RT-PCR,3421.95632,
MT2983,microRNA hsa-miR-142-5p,358904,7,5,Leukemia,K-562,miRNA,miR copy number,RT-PCR,696.213433,
MT2983,microRNA hsa-miR-142-5p,358904,7,6,Leukemia,MOLT-4,miRNA,miR copy number,RT-PCR,1195.06703,
MT2983,microRNA hsa-miR-142-5p,358904,7,10,Leukemia,RPMI-8226,miRNA,miR copy number,RT-PCR,1190.63779,
MT2983,microRNA hsa-miR-142-5p,358904,7,19,Leukemia,SR,miRNA,miR copy number,RT-PCR,563.300805,
MT2983,microRNA hsa-miR-142-5p,358904,1,4,NSCLC,A549/ATCC,miRNA,miR copy number,RT-PCR,0,
MT2983,microRNA hsa-miR-142-5p,358904,1,8,NSCLC,EKVX,miRNA,miR copy number,RT-PCR,0,
MT2983,microRNA hsa-miR-142-5p,358904,1,26,NSCLC,HOP-62,miRNA,miR copy number,RT-PCR,0,
MT2983,microRNA hsa-miR-142-5p,358904,1,29,NSCLC,HOP-92,miRNA,miR copy number,RT-PCR,15.2272652,
MT2983,microRNA hsa-miR-142-5p,358904,1,13,NSCLC,NCI-H226,miRNA,miR copy number,RT-PCR,0,
MT2983,microRNA hsa-miR-142-5p,358904,1,1,NSCLC,NCI-H23,miRNA,miR copy number,RT-PCR,0,
MT2983,microRNA hsa-miR-142-5p,358904,1,17,NSCLC,NCI-H322M,miRNA,miR copy number,RT-PCR,0,
MT2983,microRNA hsa-miR-142-5p,358904,1,21,NSCLC,NCI-H460,miRNA,miR copy number,RT-PCR,5.11516174,
MT2983,microRNA hsa-miR-142-5p,358904,1,3,NSCLC,NCI-H522,miRNA,miR copy number,RT-PCR,0,
MT2983,microRNA hsa-miR-142-5p,358904,4,10,Colon,COLO 205,miRNA,miR copy number,RT-PCR,190.75133,
MT2983,microRNA hsa-miR-142-5p,358904,4,2,Colon,HCC-2998,miRNA,miR copy number,RT-PCR,0,
MT2983,microRNA hsa-miR-142-5p,358904,4,3,Colon,HCT-116,miRNA,miR copy number,RT-PCR,0,
MT2983,microRNA hsa-miR-142-5p,358904,4,15,Colon,HCT-15,miRNA,miR copy number,RT-PCR,0,
MT2983,microRNA hsa-miR-142-5p,358904,4,1,Colon,HT29,miRNA,miR copy number,RT-PCR,0,
MT2983,microRNA hsa-miR-142-5p,358904,4,17,Colon,KM12,miRNA,miR copy number,RT-PCR,0,
