ID_NAME,CANCER TYPE,SURV
ACSL1,Ovarian cancer,NEUTRAL
ACSL3,Lung cancer,DOWNREG
ACSL3,Ovarian cancer,NEUTRAL
ACSL3,Skin cancer,UPREG
ACSL4,Colorectal cancer,UPREG
ACSL4,Lung cancer,DOWNREG
ACSL5,Breast cancer,DOWNREG
ACSL5,Colorectal cancer,NEUTRAL
ACSM1,Ovarian cancer,UPREG
ACSS1,Blood cancer,NEUTRAL
ACSS1,Breast cancer,UPREG
ACSS1,Lung cancer,NEUTRAL
ACSS2,Blood cancer,UPREG
ACSS2,Brain cancer,UPREG
ACSS2,Breast cancer,NEUTRAL
ACSS2,Lung cancer,UPREG
ACSS2,Skin cancer,UPREG
ACY1,Colorectal cancer,DOWNREG
ACY1,Lung cancer,UPREG
ACY3,Breast cancer,UPREG
ACY3,Lung cancer,UPREG
ACYP1,Colorectal cancer,UPREG
ACYP2,Breast cancer,DOWNREG
ADA,Breast cancer,UPREG
ADA,Colorectal cancer,UPREG
ADA,Lung cancer,UPREG
ADA,Ovarian cancer,UPREG
ADCY1,Breast cancer,NEUTRAL
ADCY1,Colorectal cancer,DOWNREG
ADCY1,Ovarian cancer,UPREG
ADCY10,Colorectal cancer,DOWNREG
ADCY2,Blood cancer,NEUTRAL
ADCY2,Brain cancer,NEUTRAL
ADCY2,Breast cancer,UPREG
ADCY2,Ovarian cancer,UPREG
ADCY3,Brain cancer,UPREG
ADCY3,Breast cancer,DOWNREG
ADCY3,Lung cancer,UPREG
ADCY7,Colorectal cancer,NEUTRAL
ADCY7,Ovarian cancer,NEUTRAL
ADCY8,Breast cancer,NEUTRAL
ADCY9,Brain cancer,UPREG
ADCY9,Breast cancer,NEUTRAL
ADCY9,Lung cancer,DOWNREG
ADCY9,Ovarian cancer,NEUTRAL
ADH1A,Colorectal cancer,DOWNREG
ADH1A,Lung cancer,DOWNREG
ADH1B,Breast cancer,NEUTRAL
ADH1B,Colorectal cancer,UPREG
ADH1B,Lung cancer,NEUTRAL
ADH1B,Ovarian cancer,NEUTRAL
ADH1C,Breast cancer,NEUTRAL
ADH1C,Lung cancer,NEUTRAL
ADH4,Brain cancer,UPREG
ADH4,Breast cancer,UPREG
ADH4,Lung cancer,DOWNREG
ADH5,Blood cancer,DOWNREG
ADH5,Breast cancer,UPREG
ADH6,Brain cancer,NEUTRAL
ADH6,Colorectal cancer,DOWNREG
ADHFE1,Brain cancer,NEUTRAL
ADHFE1,Breast cancer,DOWNREG
ADHFE1,Lung cancer,DOWNREG
ADK,Brain cancer,DOWNREG
ADK,Lung cancer,DOWNREG
ADK,Ovarian cancer,NEUTRAL
ADSL,Blood cancer,UPREG
ADSL,Breast cancer,UPREG
ADSL,Lung cancer,UPREG
ADSS,Blood cancer,UPREG
ADSS,Brain cancer,UPREG
AGA,Brain cancer,NEUTRAL
AGA,Breast cancer,DOWNREG
AGL,Blood cancer,DOWNREG
AGL,Breast cancer,NEUTRAL
AGL,Lung cancer,DOWNREG
AGL,Ovarian cancer,NEUTRAL
AGMAT,Colorectal cancer,DOWNREG
AGMAT,Lung cancer,UPREG
AGMAT,Ovarian cancer,UPREG
AGPAT1,Breast cancer,UPREG
AGPAT1,Colorectal cancer,UPREG
AGPAT2,Brain cancer,UPREG
AGPAT3,Breast cancer,NEUTRAL
AGPAT3,Colorectal cancer,DOWNREG
AGPAT3,Ovarian cancer,NEUTRAL
AGPAT4,Breast cancer,NEUTRAL
AGPAT4,Colorectal cancer,UPREG
AGPAT4,Ovarian cancer,NEUTRAL
AGPAT5,Brain cancer,DOWNREG
AGPAT5,Colorectal cancer,NEUTRAL
AGPAT5,Ovarian cancer,NEUTRAL
AGPS,Blood cancer,UPREG
AGPS,Brain cancer,DOWNREG
AGPS,Lung cancer,UPREG
AGPS,Skin cancer,UPREG
AGXT,Breast cancer,UPREG
AGXT,Ovarian cancer,NEUTRAL
AGXT2,Breast cancer,DOWNREG
AHCY,Breast cancer,UPREG
AHCY,Lung cancer,UPREG
AHCYL1,Blood cancer,NEUTRAL
AHCYL1,Brain cancer,NEUTRAL
AHCYL1,Breast cancer,DOWNREG
AHCYL1,Colorectal cancer,UPREG
AHCYL1,Lung cancer,UPREG
AHCYL2,Blood cancer,UPREG
AHCYL2,Breast cancer,DOWNREG
AHCYL2,Lung cancer,NEUTRAL
AICDA,Breast cancer,UPREG
AK1,Blood cancer,NEUTRAL
AK1,Breast cancer,NEUTRAL
AK1,Lung cancer,NEUTRAL
AK1,Ovarian cancer,NEUTRAL
AK2,Blood cancer,UPREG
AK2,Brain cancer,UPREG
AK2,Breast cancer,UPREG
AK2,Colorectal cancer,DOWNREG
AK2,Lung cancer,DOWNREG
AK3,Breast cancer,NEUTRAL
AK3,Lung cancer,DOWNREG
AK3,Ovarian cancer,NEUTRAL
AK4,Blood cancer,NEUTRAL
AK4,Brain cancer,UPREG
AK4,Lung cancer,UPREG
AK5,Breast cancer,NEUTRAL
AK5,Ovarian cancer,NEUTRAL
AK7,Ovarian cancer,NEUTRAL
AKR1A1,Lung cancer,UPREG
AKR1A1,Ovarian cancer,DOWNREG
AKR1B1,Lung cancer,UPREG
AKR1C1,Brain cancer,NEUTRAL
AKR1C1,Breast cancer,NEUTRAL
AKR1C1,Lung cancer,NEUTRAL
AKR1C4,Lung cancer,NEUTRAL
AKR1D1,Breast cancer,NEUTRAL
AKR1D1,Colorectal cancer,UPREG
AKR7A2,Skin cancer,UPREG
ALAD,Lung cancer,UPREG
ALAS1,Breast cancer,UPREG
ALAS1,Lung cancer,DOWNREG
ALAS1,Skin cancer,UPREG
ALAS2,Brain cancer,UPREG
ALAS2,Breast cancer,NEUTRAL
ALAS2,Lung cancer,UPREG
ALDH18A1,Blood cancer,NEUTRAL
ALDH18A1,Breast cancer,NEUTRAL
ALDH18A1,Lung cancer,UPREG
ALDH18A1,Skin cancer,UPREG
ALDH1A1,Breast cancer,NEUTRAL
ALDH1A1,Lung cancer,DOWNREG
ALDH1A1,Ovarian cancer,NEUTRAL
ALDH1A2,Breast cancer,NEUTRAL
ALDH1A2,Lung cancer,NEUTRAL
ALDH1A2,Ovarian cancer,NEUTRAL
ALDH1A3,Breast cancer,NEUTRAL
ALDH1A3,Ovarian cancer,NEUTRAL
ALDH1A3,Prostate cancer,NEUTRAL
ALDH1B1,Breast cancer,NEUTRAL
ALDH1B1,Lung cancer,UPREG
ALDH1B1,Prostate cancer,NEUTRAL
ALDH1L1,Blood cancer,DOWNREG
ALDH1L1,Brain cancer,NEUTRAL
ALDH2,Blood cancer,NEUTRAL
ALDH2,Brain cancer,DOWNREG
ALDH2,Breast cancer,DOWNREG
ALDH2,Colorectal cancer,DOWNREG
ALDH2,Lung cancer,DOWNREG
ALDH3A1,Breast cancer,UPREG
ALDH3A1,Lung cancer,NEUTRAL
ALDH3A2,Breast cancer,NEUTRAL
ALDH3A2,Lung cancer,DOWNREG
ALDH3A2,Ovarian cancer,DOWNREG
ALDH3B1,Blood cancer,UPREG
ALDH3B1,Breast cancer,DOWNREG
ALDH3B1,Lung cancer,NEUTRAL
ALDH3B2,Blood cancer,DOWNREG
ALDH3B2,Breast cancer,NEUTRAL
ALDH3B2,Lung cancer,NEUTRAL
ALDH4A1,Breast cancer,NEUTRAL
ALDH4A1,Lung cancer,DOWNREG
ALDH4A1,Skin cancer,UPREG
ALDH5A1,Brain cancer,NEUTRAL
ALDH5A1,Colorectal cancer,UPREG
ALDH5A1,Lung cancer,NEUTRAL
ALDH6A1,Brain cancer,NEUTRAL
ALDH6A1,Lung cancer,DOWNREG
ALDH6A1,Prostate cancer,NEUTRAL
ALDH7A1,Brain cancer,NEUTRAL
ALDH7A1,Breast cancer,NEUTRAL
ALDH7A1,Lung cancer,DOWNREG
ALDH7A1,Ovarian cancer,NEUTRAL
ALDH9A1,Blood cancer,UPREG
ALDH9A1,Breast cancer,NEUTRAL
ALDH9A1,Lung cancer,DOWNREG
ALDH9A1,Ovarian cancer,NEUTRAL
ALDOA,Breast cancer,UPREG
ALDOA,Lung cancer,UPREG
ALDOA,Skin cancer,UPREG
ALDOB,Blood cancer,DOWNREG
ALDOB,Breast cancer,DOWNREG
ALDOB,Colorectal cancer,DOWNREG
ALDOB,Ovarian cancer,UPREG
ALDOC,Blood cancer,UPREG
ALDOC,Brain cancer,NEUTRAL
ALDOC,Breast cancer,NEUTRAL
ALDOC,Colorectal cancer,UPREG
ALG1,Lung cancer,DOWNREG
ALG1,Skin cancer,UPREG
ALG10,Colorectal cancer,UPREG
ALG10,Lung cancer,UPREG
ALG12,Colorectal cancer,DOWNREG
ALG2,Blood cancer,DOWNREG
ALG2,Brain cancer,UPREG
ALG2,Breast cancer,UPREG
ALG2,Lung cancer,UPREG
ALG2,Ovarian cancer,DOWNREG
ALG3,Blood cancer,UPREG
ALG3,Brain cancer,UPREG
ALG3,Breast cancer,UPREG
ALG3,Lung cancer,UPREG
ALG3,Prostate cancer,NEUTRAL
ALG3,Skin cancer,UPREG
ALG5,Breast cancer,NEUTRAL
ALG6,Brain cancer,UPREG
ALG6,Breast cancer,DOWNREG
ALG6,Colorectal cancer,DOWNREG
ALG8,Breast cancer,UPREG
ALG8,Lung cancer,UPREG
ALOX12,Breast cancer,UPREG
ALOX12,Lung cancer,UPREG
ALOX12B,Blood cancer,DOWNREG
ALOX12B,Breast cancer,NEUTRAL
ALOX12B,Lung cancer,DOWNREG
ALOX12B,Ovarian cancer,DOWNREG
ALOX15,Breast cancer,NEUTRAL
ALOX15,Colorectal cancer,DOWNREG
ALOX15B,Blood cancer,UPREG
ALOX15B,Breast cancer,NEUTRAL
ALOX15B,Colorectal cancer,DOWNREG
ALOX15B,Lung cancer,NEUTRAL
ALOX15B,Prostate cancer,NEUTRAL
ALOX5,Brain cancer,NEUTRAL
ALOX5,Breast cancer,NEUTRAL
ALOX5,Ovarian cancer,UPREG
ALPI,Blood cancer,UPREG
ALPI,Lung cancer,NEUTRAL
ALPI,Ovarian cancer,UPREG
ALPL,Lung cancer,DOWNREG
ALPP,Blood cancer,DOWNREG
ALPP,Breast cancer,UPREG
ALPP,Ovarian cancer,NEUTRAL
ALPPL2,Breast cancer,UPREG
ALPPL2,Colorectal cancer,DOWNREG
ALPPL2,Lung cancer,NEUTRAL
AMACR,Blood cancer,UPREG
AMACR,Colorectal cancer,DOWNREG
AMACR,Lung cancer,NEUTRAL
AMACR,Ovarian cancer,DOWNREG
AMD1,Breast cancer,NEUTRAL
AMD1,Lung cancer,DOWNREG
AMD1,Ovarian cancer,NEUTRAL
AMPD1,Breast cancer,NEUTRAL
AMPD2,Lung cancer,UPREG
AMPD2,Ovarian cancer,UPREG
AMPD3,Breast cancer,DOWNREG
AMPD3,Colorectal cancer,DOWNREG
AMPD3,Lung cancer,UPREG
AMPD3,Ovarian cancer,DOWNREG
AMPD3,Skin cancer,DOWNREG
AMT,Breast cancer,DOWNREG
AMT,Colorectal cancer,DOWNREG
AMT,Lung cancer,DOWNREG
ANPEP,Brain cancer,UPREG
ANPEP,Breast cancer,DOWNREG
ANPEP,Colorectal cancer,NEUTRAL
ANPEP,Lung cancer,NEUTRAL
ANPEP,Prostate cancer,NEUTRAL
AOC2,Blood cancer,UPREG
AOC2,Breast cancer,UPREG
AOC2,Lung cancer,UPREG
AOC3,Colorectal cancer,NEUTRAL
AOC3,Lung cancer,DOWNREG
AOX1,Breast cancer,DOWNREG
AOX1,Lung cancer,DOWNREG
AOX1,Prostate cancer,NEUTRAL
APRT,Breast cancer,UPREG
APRT,Colorectal cancer,DOWNREG
AQP8,Blood cancer,DOWNREG
AQP8,Ovarian cancer,DOWNREG
AQP9,Brain cancer,NEUTRAL
AQP9,Breast cancer,NEUTRAL
AQP9,Lung cancer,UPREG
ARG1,Brain cancer,NEUTRAL
ARG1,Breast cancer,NEUTRAL
ARG2,Breast cancer,NEUTRAL
ARG2,Prostate cancer,NEUTRAL
ARSA,Lung cancer,UPREG
ARSB,Breast cancer,UPREG
ASAH1,Breast cancer,DOWNREG
ASAH1,Colorectal cancer,DOWNREG
ASAH1,Lung cancer,DOWNREG
ASL,Brain cancer,UPREG
ASL,Breast cancer,UPREG
ASL,Colorectal cancer,NEUTRAL
ASMT,Blood cancer,DOWNREG
ASMT,Colorectal cancer,NEUTRAL
ASMT,Prostate cancer,NEUTRAL
ASNS,Brain cancer,NEUTRAL
ASNS,Breast cancer,UPREG
ASNS,Colorectal cancer,NEUTRAL
ASPA,Lung cancer,NEUTRAL
ASRGL1,Colorectal cancer,DOWNREG
ASRGL1,Lung cancer,DOWNREG
ASRGL1,Ovarian cancer,NEUTRAL
ASRGL1,Renal cell carcinoma,DOWNREG
ASRGL1,Skin cancer,NEUTRAL
ASS1,Breast cancer,NEUTRAL
ASS1,Lung cancer,NEUTRAL
ATIC,Blood cancer,UPREG
ATIC,Breast cancer,NEUTRAL
ATIC,Lung cancer,UPREG
ATP10A,Brain cancer,NEUTRAL
ATP10A,Breast cancer,NEUTRAL
ATP10A,Colorectal cancer,UPREG
ATP10A,Lung cancer,DOWNREG
ATP1A1,Brain cancer,UPREG
ATP1A1,Breast cancer,NEUTRAL
ATP1A1,Colorectal cancer,DOWNREG
ATP1A2,Breast cancer,DOWNREG
ATP1A2,Colorectal cancer,UPREG
ATP1A2,Lung cancer,NEUTRAL
ATP1A3,Breast cancer,DOWNREG
ATP1A3,Colorectal cancer,DOWNREG
ATP1A4,Breast cancer,NEUTRAL
ATP1A4,Colorectal cancer,DOWNREG
ATP1B1,Blood cancer,NEUTRAL
ATP1B1,Lung cancer,DOWNREG
ATP1B2,Blood cancer,NEUTRAL
ATP1B2,Lung cancer,DOWNREG
ATP1B2,Prostate cancer,NEUTRAL
ATP1B3,Blood cancer,NEUTRAL
ATP1B3,Brain cancer,UPREG
ATP1B3,Breast cancer,NEUTRAL
ATP1B3,Colorectal cancer,DOWNREG
ATP1B3,Renal cell carcinoma,UPREG
ATP1B3,Skin cancer,NEUTRAL
ATP1B4,Breast cancer,DOWNREG
ATP2B1,Breast cancer,NEUTRAL
ATP2B1,Lung cancer,DOWNREG
ATP2B2,Blood cancer,NEUTRAL
ATP2B2,Breast cancer,NEUTRAL
ATP2B2,Colorectal cancer,DOWNREG
ATP2B2,Ovarian cancer,NEUTRAL
ATP2B3,Breast cancer,DOWNREG
ATP2B3,Colorectal cancer,DOWNREG
ATP2B3,Lung cancer,DOWNREG
ATP2B4,Brain cancer,DOWNREG
ATP2B4,Breast cancer,DOWNREG
ATP2B4,Colorectal cancer,NEUTRAL
ATP2B4,Lung cancer,UPREG
ATP4B,Breast cancer,UPREG
ATP5A1,Breast cancer,NEUTRAL
ATP5A1,Colorectal cancer,DOWNREG
ATP5A1,Lung cancer,UPREG
ATP5A1,Ovarian cancer,NEUTRAL
ATP5B,Breast cancer,UPREG
ATP5B,Colorectal cancer,DOWNREG
ATP5B,Lung cancer,UPREG
ATP5B,Prostate cancer,UPREG
ATP5C1,Brain cancer,DOWNREG
ATP5C1,Breast cancer,UPREG
ATP5C1,Colorectal cancer,DOWNREG
ATP5C1,Lung cancer,UPREG
ATP5D,Brain cancer,DOWNREG
ATP5D,Breast cancer,NEUTRAL
ATP5E,Brain cancer,DOWNREG
ATP5E,Breast cancer,UPREG
ATP5E,Lung cancer,UPREG
ATP5F1,Breast cancer,DOWNREG
ATP5F1,Colorectal cancer,DOWNREG
ATP5F1,Lung cancer,UPREG
ATP5G1,Colorectal cancer,DOWNREG
ATP5G1,Lung cancer,UPREG
ATP5G1,Skin cancer,UPREG
ATP5G2,Breast cancer,UPREG
ATP5G2,Lung cancer,UPREG
ATP5G3,Blood cancer,NEUTRAL
ATP5G3,Brain cancer,UPREG
ATP5G3,Breast cancer,UPREG
ATP5G3,Colorectal cancer,DOWNREG
ATP5G3,Lung cancer,UPREG
ATP5G3,Skin cancer,UPREG
ATP5H,Brain cancer,UPREG
ATP5H,Breast cancer,NEUTRAL
ATP5H,Lung cancer,UPREG
ATP5I,Breast cancer,UPREG
ATP5J,Breast cancer,UPREG
ATP5J,Colorectal cancer,DOWNREG
ATP5J,Lung cancer,UPREG
ATP5J,Ovarian cancer,UPREG
ATP5J,Prostate cancer,NEUTRAL
ATP5J,Skin cancer,UPREG
ATP5J2,Blood cancer,UPREG
ATP5J2,Brain cancer,UPREG
ATP5J2,Breast cancer,UPREG
ATP5J2,Lung cancer,UPREG
ATP5J2,Skin cancer,UPREG
ATP5L,Blood cancer,DOWNREG
ATP5L,Breast cancer,DOWNREG
ATP5L,Lung cancer,UPREG
ATP6V0A1,Blood cancer,DOWNREG
ATP6V0A1,Brain cancer,NEUTRAL
ATP6V0A1,Colorectal cancer,DOWNREG
ATP6V0A1,Ovarian cancer,UPREG
ATP6V0A2,Brain cancer,UPREG
ATP6V0A2,Breast cancer,UPREG
ATP6V0A2,Lung cancer,UPREG
ATP6V0B,Brain cancer,UPREG
ATP6V0B,Breast cancer,UPREG
ATP6V0B,Lung cancer,UPREG
ATP6V0B,Skin cancer,UPREG
ATP6V0C,Breast cancer,NEUTRAL
ATP6V0C,Lung cancer,UPREG
ATP6V0D1,Brain cancer,NEUTRAL
ATP6V0D1,Breast cancer,UPREG
ATP6V0E1,Blood cancer,DOWNREG
ATP6V0E1,Breast cancer,UPREG
ATP6V0E1,Colorectal cancer,UPREG
ATP6V0E1,Lung cancer,DOWNREG
ATP6V0E1,Ovarian cancer,UPREG
ATP6V1A,Brain cancer,UPREG
ATP6V1A,Lung cancer,UPREG
ATP6V1B1,Lung cancer,NEUTRAL
ATP6V1B2,Blood cancer,NEUTRAL
ATP6V1B2,Brain cancer,DOWNREG
ATP6V1C1,Blood cancer,DOWNREG
ATP6V1C1,Brain cancer,DOWNREG
ATP6V1C1,Breast cancer,NEUTRAL
ATP6V1C1,Colorectal cancer,UPREG
ATP6V1C1,Lung cancer,UPREG
ATP6V1C2,Breast cancer,NEUTRAL
ATP6V1C2,Lung cancer,NEUTRAL
ATP6V1D,Breast cancer,NEUTRAL
ATP6V1D,Colorectal cancer,UPREG
ATP6V1D,Lung cancer,UPREG
ATP6V1D,Ovarian cancer,UPREG
ATP6V1E1,Blood cancer,DOWNREG
ATP6V1E1,Brain cancer,DOWNREG
ATP6V1E1,Colorectal cancer,UPREG
ATP6V1E2,Breast cancer,UPREG
ATP6V1F,Brain cancer,UPREG
ATP6V1F,Breast cancer,UPREG
ATP6V1F,Lung cancer,UPREG
ATP6V1F,Skin cancer,UPREG
ATP6V1G1,Breast cancer,DOWNREG
ATP6V1G1,Lung cancer,UPREG
ATP6V1G1,Ovarian cancer,NEUTRAL
ATP6V1G2,Brain cancer,NEUTRAL
ATP6V1G2,Breast cancer,UPREG
ATP6V1G3,Brain cancer,NEUTRAL
ATP6V1H,Brain cancer,DOWNREG
ATP6V1H,Colorectal cancer,UPREG
ATP6V1H,Lung cancer,UPREG
ATP8A1,Blood cancer,UPREG
ATP8A1,Brain cancer,NEUTRAL
ATP8A1,Breast cancer,NEUTRAL
ATP8A1,Lung cancer,DOWNREG
ATP8A1,Skin cancer,DOWNREG
AUH,Breast cancer,DOWNREG
AUH,Colorectal cancer,UPREG
B3GALNT1,Breast cancer,UPREG
B3GALNT1,Colorectal cancer,UPREG
B3GALNT1,Lung cancer,NEUTRAL
B3GALT4,Breast cancer,NEUTRAL
B3GALT5,Ovarian cancer,UPREG
B3GALT6,Brain cancer,UPREG
B3GAT1,Lung cancer,NEUTRAL
B3GAT1,Ovarian cancer,NEUTRAL
B3GAT2,Lung cancer,DOWNREG
B3GAT3,Blood cancer,DOWNREG
B3GAT3,Lung cancer,DOWNREG
B3GAT3,Ovarian cancer,NEUTRAL
B3GNT2,Colorectal cancer,UPREG
B3GNT2,Ovarian cancer,UPREG
B3GNT3,Breast cancer,NEUTRAL
B3GNT3,Lung cancer,UPREG
B3GNT4,Breast cancer,UPREG
B3GNT5,Blood cancer,NEUTRAL
B3GNT5,Brain cancer,NEUTRAL
B3GNT5,Breast cancer,DOWNREG
B3GNT5,Lung cancer,UPREG
B3GNT7,Breast cancer,NEUTRAL
B3GNT7,Lung cancer,NEUTRAL
B3GNT8,Breast cancer,UPREG
B3GNT8,Lung cancer,NEUTRAL
B4GALNT1,Lung cancer,DOWNREG
B4GALNT1,Ovarian cancer,UPREG
B4GALT1,Brain cancer,UPREG
B4GALT1,Breast cancer,NEUTRAL
B4GALT1,Lung cancer,UPREG
B4GALT1,Skin cancer,UPREG
B4GALT3,Blood cancer,UPREG
B4GALT3,Breast cancer,NEUTRAL
B4GALT3,Skin cancer,UPREG
B4GALT5,Brain cancer,UPREG
B4GALT5,Lung cancer,UPREG
B4GALT5,Ovarian cancer,NEUTRAL
B4GALT7,Blood cancer,DOWNREG
B4GALT7,Brain cancer,UPREG
B4GALT7,Colorectal cancer,DOWNREG
B4GALT7,Lung cancer,DOWNREG
BAAT,Breast cancer,DOWNREG
BBOX1,Brain cancer,NEUTRAL
BCAT1,Blood cancer,NEUTRAL
BCAT1,Brain cancer,NEUTRAL
BCAT1,Breast cancer,NEUTRAL
BCAT1,Colorectal cancer,NEUTRAL
BCAT1,Lung cancer,NEUTRAL
BCAT1,Skin cancer,UPREG
BCAT2,Breast cancer,NEUTRAL
BCAT2,Lung cancer,NEUTRAL
BCAT2,Ovarian cancer,UPREG
BCKDHA,Lung cancer,DOWNREG
BCKDHB,Blood cancer,NEUTRAL
BCKDHB,Breast cancer,NEUTRAL
BCKDHB,Colorectal cancer,UPREG
BCKDHB,Skin cancer,UPREG
BDH1,Brain cancer,UPREG
BDH1,Colorectal cancer,NEUTRAL
BDH1,Skin cancer,UPREG
BHMT,Breast cancer,NEUTRAL
BHMT,Colorectal cancer,NEUTRAL
BHMT,Ovarian cancer,NEUTRAL
BHMT2,Breast cancer,DOWNREG
BHMT2,Colorectal cancer,UPREG
BHMT2,Lung cancer,NEUTRAL
BLVRA,Blood cancer,UPREG
BLVRA,Brain cancer,UPREG
BLVRA,Breast cancer,NEUTRAL
BLVRA,Ovarian cancer,NEUTRAL
BLVRB,Blood cancer,NEUTRAL
BLVRB,Lung cancer,UPREG
BPGM,Breast cancer,UPREG
BPGM,Lung cancer,NEUTRAL
BPNT1,Breast cancer,UPREG
BPNT1,Lung cancer,DOWNREG
BTD,Blood cancer,NEUTRAL
BTD,Breast cancer,DOWNREG
BTD,Colorectal cancer,UPREG
BTD,Ovarian cancer,DOWNREG
C1GALT1,Brain cancer,UPREG
C1GALT1,Breast cancer,UPREG
C1GALT1,Lung cancer,NEUTRAL
CA1,Blood cancer,NEUTRAL
CA12,Brain cancer,NEUTRAL
CA12,Breast cancer,NEUTRAL
CA12,Lung cancer,NEUTRAL
CA12,Ovarian cancer,NEUTRAL
CA13,Blood cancer,UPREG
CA14,Breast cancer,NEUTRAL
CA2,Blood cancer,NEUTRAL
CA2,Brain cancer,NEUTRAL
CA3,Brain cancer,NEUTRAL
CA3,Breast cancer,NEUTRAL
CA3,Lung cancer,NEUTRAL
CA4,Breast cancer,DOWNREG
CA4,Lung cancer,NEUTRAL
CA5A,Breast cancer,DOWNREG
CA5A,Lung cancer,NEUTRAL
CA5B,Breast cancer,UPREG
CA5B,Colorectal cancer,DOWNREG
CA7,Breast cancer,NEUTRAL
CA7,Colorectal cancer,DOWNREG
CA7,Ovarian cancer,NEUTRAL
CA9,Brain cancer,NEUTRAL
CA9,Breast cancer,NEUTRAL
CA9,Colorectal cancer,UPREG
CA9,Lung cancer,NEUTRAL
CAD,Blood cancer,UPREG
CAD,Brain cancer,UPREG
CAD,Breast cancer,UPREG
CAD,Lung cancer,UPREG
CAD,Skin cancer,UPREG
CANT1,Colorectal cancer,DOWNREG
